id_subid,prism_filepath,prism_redshift,grating_filepaths,grating_redshifts,file_count,available_filters,filter_g140m-f100lp_filepath,filter_g235m-f170lp_filepath,filter_g235h-f170lp_filepath,filter_g395h-f290lp_filepath,filter_g395m-f290lp_filepath,filter_g140m-f070lp_filepath,filter_g140h-f070lp_filepath,filter_g140h-f100lp_filepath
4446_102,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_102.spec.fits,0.2259,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_102.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_102.spec.fits'}","{'g140m-f100lp': None, 'g235m-f170lp': None}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_102.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_102.spec.fits,,,,,,
4446_143,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_143.spec.fits,1.6318,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_143.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_143.spec.fits'}","{'g140m-f100lp': <Quantity 1.6313>, 'g235m-f170lp': <Quantity 1.6309>}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_143.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_143.spec.fits,,,,,,
4446_285,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_285.spec.fits,0.4446,"{'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_285.spec.fits', 'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_285.spec.fits'}","{'g235m-f170lp': <Quantity 0.4462>, 'g140m-f100lp': <Quantity 0.4462>}",3,"g140m-f100lp, prism-clear, g235m-f170lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_285.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_285.spec.fits,,,,,,
4446_29,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_29.spec.fits,1.7834,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_29.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_29.spec.fits'}","{'g140m-f100lp': <Quantity 1.7799>, 'g235m-f170lp': <Quantity 1.7796>}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_29.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_29.spec.fits,,,,,,
4446_123,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_123.spec.fits,1.7855,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_123.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_123.spec.fits'}","{'g140m-f100lp': <Quantity 1.7855>, 'g235m-f170lp': <Quantity 1.7851>}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_123.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_123.spec.fits,,,,,,
4446_3,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_3.spec.fits,1.7755,"{'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_3.spec.fits', 'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_3.spec.fits'}","{'g235m-f170lp': <Quantity 1.7793>, 'g140m-f100lp': <Quantity 1.781>}",3,"g140m-f100lp, prism-clear, g235m-f170lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_3.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_3.spec.fits,,,,,,
4446_407,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_407.spec.fits,1.8783,"{'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_407.spec.fits', 'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_407.spec.fits'}","{'g235m-f170lp': <Quantity 1.8519>, 'g140m-f100lp': <Quantity 1.8532>}",3,"g140m-f100lp, prism-clear, g235m-f170lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_407.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_407.spec.fits,,,,,,
4446_377,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_377.spec.fits,0.2713,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_377.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_377.spec.fits'}","{'g140m-f100lp': None, 'g235m-f170lp': None}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_377.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_377.spec.fits,,,,,,
4446_135,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_135.spec.fits,0.5902,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_135.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_135.spec.fits'}","{'g140m-f100lp': None, 'g235m-f170lp': None}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_135.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_135.spec.fits,,,,,,
4446_313,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_prism-clear_4446_313.spec.fits,0.5517,"{'g140m-f100lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_313.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_313.spec.fits'}","{'g140m-f100lp': None, 'g235m-f170lp': None}",3,"prism-clear, g235m-f170lp, g140m-f100lp",/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g140m-f100lp_4446_313.spec.fits,/home/xingyaocai/DJAv4/snh0pe-v4/snh0pe-v4_g235m-f170lp_4446_313.spec.fits,,,,,,
